Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted
698,9.000000000000015e-06,0.37,0.367
699,9.000000000000015e-06,0.366,0.363
700,9.000000000000015e-06,0.356,0.353
701,9.000000000000015e-06,0.363,0.36
702,9.000000000000015e-06,0.364,0.361
703,0.015375999999999999,0.304,0.428
704,0.015375999999999999,0.302,0.426
705,0.015375999999999999,0.305,0.429
706,9.000000000000015e-06,0.356,0.353
707,9.000000000000015e-06,0.375,0.372
708,9.000000000000015e-06,0.364,0.361
709,9.000000000000015e-06,0.375,0.372
710,0.015375999999999999,0.268,0.392
711,0.015375999999999999,0.303,0.427
712,9.000000000000015e-06,0.355,0.352
713,0.015375999999999999,0.299,0.423
714,9.000000000000015e-06,0.367,0.364
715,9.000000000000015e-06,0.378,0.375
716,0.015375999999999999,0.302,0.426
717,0.015375999999999999,0.294,0.418
718,0.015375999999999999,0.299,0.423
719,9.000000000000015e-06,0.367,0.364
720,0.015375999999999999,0.297,0.421
721,9.000000000000015e-06,0.372,0.369
722,0.015375999999999999,0.303,0.427
723,0.015375999999999999,0.302,0.426
724,0.015375999999999999,0.289,0.413
725,9.000000000000015e-06,0.372,0.369
726,9.000000000000015e-06,0.381,0.378
727,9.000000000000015e-06,0.375,0.372
728,0.015375999999999999,0.304,0.428
729,9.000000000000015e-06,0.363,0.36
730,9.000000000000015e-06,0.377,0.374
731,9.000000000000015e-06,0.368,0.365
732,9.000000000000015e-06,0.354,0.351
733,0.015375999999999999,0.302,0.426
734,9.000000000000015e-06,0.361,0.358
735,9.000000000000015e-06,0.37,0.367
736,0.015375999999999999,0.285,0.409
737,9.000000000000015e-06,0.364,0.361
738,0.015375999999999999,0.306,0.43
739,0.015375999999999999,0.302,0.426
740,0.015375999999999999,0.293,0.417
741,9.000000000000015e-06,0.366,0.363
742,9.000000000000015e-06,0.365,0.362
743,9.000000000000015e-06,0.37,0.367
744,9.000000000000015e-06,0.374,0.371
745,9.000000000000015e-06,0.368,0.365
746,9.000000000000015e-06,0.359,0.356
747,9.000000000000015e-06,0.36,0.357
748,0.015375999999999999,0.303,0.427
749,9.000000000000015e-06,0.366,0.363
750,9.000000000000015e-06,0.357,0.354
751,9.000000000000015e-06,0.372,0.369
752,0.015375999999999999,0.303,0.427
753,9.000000000000015e-06,0.364,0.361
754,0.015375999999999999,0.297,0.421
755,9.000000000000015e-06,0.36,0.357
