Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
615,0.29340299999999997,0.297,0.297,0.036,0.017
616,0.295643,0.301,0.295,0.036,0.017
617,0.31241899999999995,0.241,0.349,0.036,0.017
618,0.30552399999999996,0.306,0.299,0.036,0.017
619,0.29666,0.299,0.298,0.036,0.017
620,0.322243,0.312,0.308,0.036,0.017
621,0.30768799999999996,0.306,0.301,0.036,0.017
622,0.31241899999999995,0.241,0.349,0.036,0.017
623,0.32117599999999996,0.313,0.306,0.036,0.017
624,0.322339,0.314,0.306,0.036,0.017
625,0.30112399999999995,0.304,0.297,0.036,0.017
626,0.294728,0.303,0.292,0.036,0.017
627,0.307656,0.305,0.302,0.036,0.017
628,0.294728,0.303,0.292,0.036,0.017
629,0.333731,0.365,0.235,0.036,0.017
630,0.31327499999999997,0.309,0.303,0.036,0.017
631,0.309908,0.307,0.302,0.036,0.017
632,0.31776299999999996,0.311,0.305,0.036,0.017
633,0.307736,0.307,0.3,0.036,0.017
634,0.30552399999999996,0.306,0.299,0.036,0.017
635,0.30665899999999996,0.307,0.299,0.036,0.017
636,0.30877899999999997,0.306,0.302,0.036,0.017
637,0.31241899999999995,0.241,0.349,0.036,0.017
638,0.31241899999999995,0.241,0.349,0.036,0.017
639,0.324744,0.359,0.236,0.036,0.017
640,0.350699,0.371,0.247,0.036,0.017
641,0.315515,0.31,0.304,0.036,0.017
642,0.303224,0.302,0.301,0.036,0.017
643,0.315475,0.309,0.305,0.036,0.017
644,0.30005899999999996,0.304,0.296,0.036,0.017
645,0.314372,0.309,0.304,0.036,0.017
646,0.33607499999999996,0.365,0.239,0.036,0.017
647,0.307736,0.307,0.3,0.036,0.017
648,0.316616,0.31,0.305,0.036,0.017
649,0.357251,0.375,0.247,0.036,0.017
650,0.337896,0.365,0.242,0.036,0.017
651,0.295643,0.301,0.295,0.036,0.017
652,0.31658400000000003,0.309,0.306,0.036,0.017
653,0.291275,0.298,0.294,0.036,0.017
654,0.34373899999999996,0.369,0.241,0.036,0.017
655,0.31241899999999995,0.241,0.349,0.036,0.017
656,0.30877899999999997,0.306,0.302,0.036,0.017
657,0.342116,0.368,0.241,0.036,0.017
658,0.29343499999999995,0.299,0.295,0.036,0.017
659,0.31218399999999996,0.309,0.302,0.036,0.017
660,0.31241899999999995,0.241,0.349,0.036,0.017
661,0.315515,0.31,0.304,0.036,0.017
662,0.32931499999999997,0.364,0.23,0.036,0.017
663,0.304355,0.304,0.3,0.036,0.017
664,0.29144299999999995,0.301,0.291,0.036,0.017
665,0.295571,0.298,0.298,0.036,0.017
666,0.353336,0.373,0.246,0.036,0.017
667,0.320019,0.312,0.306,0.036,0.017
668,0.30005899999999996,0.304,0.296,0.036,0.017
669,0.34151499999999996,0.368,0.24,0.036,0.017
670,0.29493600000000003,0.305,0.29,0.036,0.017
671,0.300219,0.306,0.294,0.036,0.017
672,0.32220299999999996,0.357,0.237,0.036,0.017
673,0.33754399999999996,0.367,0.236,0.036,0.017
674,0.31772300000000003,0.31,0.306,0.036,0.017
675,0.31891600000000003,0.312,0.305,0.036,0.017
676,0.303224,0.301,0.302,0.036,0.017
677,0.29675599999999996,0.302,0.295,0.036,0.017
678,0.3398959999999999,0.367,0.24,0.036,0.017
679,0.311003,0.307,0.303,0.036,0.017
680,0.305444,0.304,0.301,0.036,0.017
681,0.32117599999999996,0.313,0.306,0.036,0.017
682,0.32909599999999994,0.361,0.238,0.036,0.017
683,0.3543599999999999,0.374,0.245,0.036,0.017
684,0.33347999999999994,0.363,0.24,0.036,0.017
685,0.335348,0.366,0.235,0.036,0.017
686,0.314372,0.309,0.304,0.036,0.017
687,0.318868,0.311,0.306,0.036,0.017
688,0.306539,0.304,0.302,0.036,0.017
689,0.339748,0.368,0.237,0.036,0.017
690,0.293475,0.3,0.294,0.036,0.017
691,0.31306399999999995,0.242,0.349,0.036,0.017
692,0.298856,0.301,0.298,0.036,0.017
693,0.33250399999999997,0.362,0.241,0.036,0.017
694,0.316616,0.31,0.305,0.036,0.017
695,0.31434,0.308,0.305,0.036,0.017
696,0.29666,0.298,0.299,0.036,0.017
697,0.290504,0.302,0.289,0.036,0.017
698,0.29234,0.295,0.298,0.036,0.017
699,0.31776299999999996,0.311,0.305,0.036,0.017
700,0.351699,0.372,0.246,0.036,0.017
701,0.311043,0.308,0.302,0.036,0.017
702,0.31241899999999995,0.241,0.349,0.036,0.017
703,0.32715999999999995,0.359,0.24,0.036,0.017
704,0.311099,0.309,0.301,0.036,0.017
705,0.29675599999999996,0.302,0.295,0.036,0.017
706,0.293531,0.301,0.293,0.036,0.017
707,0.34092,0.368,0.239,0.036,0.017
708,0.333731,0.365,0.235,0.036,0.017
709,0.306563,0.305,0.301,0.036,0.017
710,0.298888,0.302,0.297,0.036,0.017
711,0.304355,0.304,0.3,0.036,0.017
712,0.323396,0.313,0.308,0.036,0.017
713,0.33629899999999996,0.364,0.242,0.036,0.017
714,0.292564,0.302,0.291,0.036,0.017
